335,36.68853
335.2,36.69283
335.4,36.70377
335.6,36.71428
335.8,36.72436
336,36.73815
336.2,36.75446
336.4,36.76855
336.6,36.78704
336.8,36.79926
337,36.81151
337.2,36.83384
337.4,36.86205
337.6,36.89013
337.8,36.90439
338,36.93032
338.2,36.95356
338.4,36.96688
338.6,36.98434
338.8,37.00287
339,37.02921
339.2,37.04352
339.4,37.07429
339.6,37.08747
339.8,37.09621
340,37.1177
340.2,37.1371
340.4,37.14799
340.6,37.1731
340.8,37.19434
341,37.21978
341.2,37.24988
341.4,37.27967
341.6,37.29964
341.8,37.31684
342,37.3462
342.2,37.36575
342.4,37.39235
342.6,37.42963
342.8,37.46392
343,37.49785
343.2,37.53468
343.4,37.57766
343.6,37.60463
343.8,37.6336
344,37.67515
344.2,37.70374
344.4,37.74115
344.6,37.7812
344.8,37.80524
345,37.83406
345.2,37.86861
345.4,37.89472
345.6,37.91582
345.8,37.95648
346,37.99956
346.2,38.02298
346.4,38.04812
346.6,38.08232
346.8,38.11481
347,38.14337
347.2,38.17205
347.4,38.19323
347.6,38.20925
347.8,38.23059
348,38.27143
348.2,38.29265
348.4,38.32358
348.6,38.34747
348.8,38.37547
349,38.40198
349.2,38.4315
349.4,38.45538
349.6,38.48351
349.8,38.51889
350,38.537
350.2,38.55777
350.4,38.60078
350.6,38.63091
350.8,38.66304
351,38.67998
351.2,38.69769
351.4,38.73013
351.6,38.7629
351.8,38.79849
352,38.83394
352.2,38.85625
352.4,38.89645
352.6,38.92694
352.8,38.95089
353,38.98528
353.2,39.02037
353.4,39.05599
353.6,39.09137
353.8,39.13155
354,39.15947
354.2,39.19886
354.4,39.22734
354.6,39.25041
354.8,39.28619
355,39.3144
355.2,39.35418
355.4,39.40055
355.6,39.42908
355.8,39.46599
356,39.49881
356.2,39.53018
356.4,39.56195
356.6,39.58972
356.8,39.62057
357,39.65334
357.2,39.67908
357.4,39.7178
357.6,39.73635
357.8,39.76913
358,39.7952
358.2,39.81861
358.4,39.85215
358.6,39.88422
358.8,39.91952
359,39.94837
359.2,39.9857
359.4,40.01561
359.6,40.04176
359.8,40.07509
360,40.1066
360.2,40.14616
360.4,40.17795
360.6,40.21887
360.8,40.25713
361,40.28917
361.2,40.33201
361.4,40.37035
361.6,40.40184
361.8,40.45223
362,40.49009
362.2,40.52862
362.4,40.57176
362.6,40.60452
362.8,40.64851
363,40.68595
363.2,40.72025
363.4,40.74989
363.6,40.78597
363.8,40.82038
364,40.85367
364.2,40.88412
364.4,40.91141
364.6,40.94485
364.8,40.97492
365,41.00142
365.2,41.03833
365.4,41.07491
365.6,41.10936
365.8,41.1371
366,41.16298
366.2,41.19458
366.4,41.23103
366.6,41.26094
366.8,41.2893
367,41.31545
367.2,41.35022
367.4,41.38311
367.6,41.41676
367.8,41.44393
368,41.47372
368.2,41.51021
368.4,41.55002
368.6,41.58085
368.8,41.61203
369,41.64478
369.2,41.68624
369.4,41.71575
369.6,41.73887
369.8,41.77223
370,41.80325
370.2,41.84023
370.4,41.87177
370.6,41.9029
370.8,41.93443
